id,site,water,indpop,Germination_time,Green,Red,Survival_flowering,Flowering_time,Inflorescence_size,Survival_num,Survival_fruit,Fruits,Seeds,Infloresncence_byind,Fruits_byind,Seeds_byind,Fitness
5353,madrid,l,p,36.25,20979.11893,44.23035713,0.5,124.5,75618,0.5,0.25,63.1941892,1788.395556,37809,31.5970946,894.197778,14.9032963
5353,tuebingen,h,i,18.71428571,49077.48857,151.8692811,1,160.4285714,497763.5714,1,1,389.4439931,11021.265,497763.5714,389.4439931,11021.265,11021.265
5353,tuebingen,h,p,30,107900.672,256.5888889,1,157.8,918226.3333,7.8,0.6,715.0797071,20236.75571,72814.09775,56.7249489,1605.316054,404.7351142
5353,tuebingen,l,i,22,30187.14443,566.9365079,0.857142857,165.1666667,228094.3333,1,0.428571429,170.1401634,4814.966624,228094.3333,170.1401634,4814.966624,2063.557124
5353,tuebingen,l,p,26.4,64195.112,552.7555555,0.8,168.25,218610,3,0.4,157.3855412,4454.010814,48575.90385,37.1520455,1051.402888,59.38681085
5486,madrid,h,i,25,63102.50167,82.92222222,1,109.1666667,609871.6667,1,1,529.5095603,14985.12056,609871.6667,529.5095603,14985.12056,14985.12056
5486,madrid,h,p,24.16666667,77966.67333,12.30238097,1,114.6666667,774377.5,17.5,1,644.3819388,18236.00887,122926.4167,102.2666738,2894.146869,607.8669622
5486,madrid,l,i,24.5,40036.82667,63.75119047,0.5,134.3333333,NA,1,0,NA,NA,NA,NA,NA,0
5486,madrid,l,p,26.2,43236.41,52.42666666,0.4,133,252208,0.2,0.2,198.9849293,5631.273498,252208,198.9849293,5631.273498,37.54182332
5486,tuebingen,h,i,17.57142857,66749.83286,80.96031747,1,162,391532.2857,1,1,314.0750364,8888.323531,391532.2857,314.0750364,8888.323531,8888.323531
5486,tuebingen,h,p,22.4,117139.68,109.2222222,1,164.2,727540.75,17.6,0.8,569.1184693,16106.05268,33384.21957,26.02312756,736.4545098,429.4947382
5486,tuebingen,l,i,17.28571429,35026.13857,681.179972,0.571428571,165.5,82388.5,1,0.285714286,62.7695547,1776.378398,82388.5,62.7695547,1776.378398,507.5366851
5486,tuebingen,l,p,19.8,82215.692,387.2277778,0.4,153.5,159246,12,0.4,126.9293592,3592.100865,5308.2,4.230978638,119.7366955,47.89467819
5577,madrid,h,i,23.83333333,33719.89567,557.081746,1,113.1666667,835688.1667,1,1,732.8949196,20740.92622,835688.1667,732.8949196,20740.92622,20740.92622
5577,madrid,h,p,25.6,44277.558,1473.40381,0.8,110.5,950250.75,18.6,0.8,800.1408711,22643.98665,101399.525,90.2810086,2554.952543,603.839644
5577,madrid,l,i,27.66666667,44361.46667,130.2460317,0,NA,NA,1,0,NA,NA,NA,NA,NA,0
5577,madrid,l,p,32.75,30992.6785,20.29523808,0.25,144,NA,0,0,NA,NA,NA,NA,NA,0
5577,tuebingen,h,i,17.57142857,60925.50286,75.35340804,1,156.4285714,418150.1429,1,1,329.2097081,9316.634739,418150.1429,329.2097081,9316.634739,9316.634739
5577,tuebingen,h,p,26.4,113666.856,112.3555556,1,148,752904.3333,12.2,0.6,612.3288911,17328.90762,39505.73922,31.77085769,899.1152725,346.5781524
5577,tuebingen,l,i,20,34586.46,456.0515873,1,162,248128,1,0.285714286,195.3426124,5528.195932,248128,195.3426124,5528.195932,1579.484552
5577,tuebingen,l,p,26,58778.2225,266.625,0.5,167,398353,7.5,0.25,282.1408011,7984.584672,13278.43333,9.40469337,266.1528224,66.5382056
5741,madrid,h,i,22.57142857,38667.98571,14.57653061,1,127,616632.7143,1,1,551.9664868,15620.65158,616632.7143,551.9664868,15620.65158,15620.65158
5741,madrid,h,p,24,73885.138,7.18666666,1,138,898332.6667,14,0.6,780.0459595,22075.30065,47186.02222,39.9376092,1130.23434,441.5060131
5741,madrid,l,i,22,31944.80571,100.3455782,0.142857143,144,NA,1,0,NA,NA,NA,NA,NA,0
5741,madrid,l,p,24.2,40232.632,48.4804762,0.2,105,NA,0,0,NA,NA,NA,NA,NA,0
5741,tuebingen,h,i,13.625,60284.7275,98.5,1,168.375,429765.75,1,1,342.4487105,9691.298507,429765.75,342.4487105,9691.298507,9691.298507
5741,tuebingen,h,p,21,111806.512,147.1777778,1,168,663097.3333,7.6,0.6,543.1995804,15372.54812,157764.8095,132.7982254,3758.189778,307.4509625
5741,tuebingen,l,i,15.85714286,46033.09857,345.1865079,0.285714286,170.5,210510.3333,1,0.428571429,176.0699648,4982.780003,210510.3333,176.0699648,4982.780003,2135.477144
5741,tuebingen,l,p,27.75,47490.99888,749.0222222,0,NA,160250,2,0.2,125.5729085,3553.71331,16025,12.55729085,355.371331,23.69142207
5768,madrid,h,i,20.16666667,33563.48417,85.98571428,1,119.8333333,653029.8333,1,1,553.4065124,15661.4043,653029.8333,553.4065124,15661.4043,15661.4043
5768,madrid,h,p,30,25164.5375,27.725,1,128,919395.25,8.75,1,845.2081331,23919.39017,581623.3417,529.5968401,14987.59058,797.3130056
5768,madrid,l,i,33.83333333,16424.88333,126.8265873,0.333333333,133.5,140287,1,0.166666667,130.0076257,3679.215806,140287,130.0076257,3679.215806,613.2026343
5768,madrid,l,p,28.6,22379.5244,83,0.6,139,30084,0.2,0.2,25.105132,710.475237,30084,25.105132,710.475237,4.73650158
5768,tuebingen,h,i,17.16666667,22379.14833,67.4972767,0.333333333,173,211190.8333,1,1,181.9524074,5149.253129,211190.8333,181.9524074,5149.253129,5149.253129
5768,tuebingen,h,p,26.6,107717.54,288.6333333,0.8,168.25,528684,4,0.2,415.2327578,11751.08705,26434.2,20.76163789,587.5543523,78.3405803
5768,tuebingen,l,i,20.14285714,24933.04857,709.8888889,0.428571429,164,129325.5,1,0.285714286,106.1115258,3002.956179,129325.5,106.1115258,3002.956179,857.9874796
5768,tuebingen,l,p,27.8,54739.254,510.3555556,0.2,167,94718,3.2,0.2,78.042228,2208.595052,5919.875,4.87763925,138.0371908,14.72396701
5772,madrid,h,i,24.14285714,50418.19286,33.03945577,1,106.2857143,864398,1,1,740.6089039,20959.23198,864398,740.6089039,20959.23198,20959.23198
5772,madrid,h,p,23.5,69005.555,810.4321429,0.75,99.66666667,952243.6667,5,0.75,807.3760159,22848.74125,289003.0222,240.8713699,6816.659769,571.2185313
5772,madrid,l,i,17.85714286,42087.49443,373.2323129,0.571428571,107.25,199355,1,0.142857143,178.2161591,5043.517304,199355,178.2161591,5043.517304,720.502472
5772,madrid,l,p,21.5,65366.2025,28.30119048,0,NA,NA,0,0,NA,NA,NA,NA,NA,0
5772,tuebingen,h,i,19,50375.79167,141.2385621,1,154.3333333,706370.2,1,0.833333333,578.8706362,16382.039,706370.2,578.8706362,16382.039,13651.69917
5772,tuebingen,h,p,21,134245.68,73.43333334,1,158.2,1131239.667,11,0.6,894.1011826,25303.06347,70787.5241,55.88302806,1581.489694,506.0612694
5772,tuebingen,l,i,16.42857143,29841.40571,579.8846872,0.857142857,159.8333333,241155.6667,1,0.428571429,179.1063817,5068.710602,241155.6667,179.1063817,5068.710602,2172.304544
5772,tuebingen,l,p,21.6,74973.01,592.0944444,0.2,167,NA,0,0,NA,NA,NA,NA,NA,0
5779,madrid,h,i,17.85714286,57254.76286,56.90306121,1,117.4285714,615329,1,1,518.5389666,14674.65275,615329,518.5389666,14674.65275,14674.65275
5779,madrid,h,p,23.25,70415.755,1.04464285,1,125,970585,17,1,834.4502555,23614.94223,300304.8159,275.9820565,7810.292198,787.1647411
5779,madrid,l,i,17.5,29414.195,7.42420635,0.5,126,112929,1,0.333333333,107.0805415,3030.379325,112929,107.0805415,3030.379325,1010.126442
5779,madrid,l,p,25.5,62772.015,18.67142858,0.25,140,NA,0,0,NA,NA,NA,NA,NA,0
5779,tuebingen,h,i,15.71428571,50814.32429,136.5396825,1,165.4285714,373674.5714,1,1,296.7224941,8397.246582,373674.5714,296.7224941,8397.246582,8397.246582
5779,tuebingen,h,p,19.6,127650.136,181.8333333,1,167.2,796144.5,15.4,0.8,632.546038,17901.05287,43113.01996,34.36273613,972.4654325,477.36141
5779,tuebingen,l,i,15.14285714,28828.81714,325.9365079,0.857142857,165.6666667,136802.5,1,0.285714286,109.7778781,3106.713951,136802.5,109.7778781,3106.713951,887.6325573
5779,tuebingen,l,p,23.8,69052.178,442.3222222,0.2,172,118897,6,0.2,93.5582168,2647.697536,3963.233333,3.118607227,88.25658453,17.65131691
5784,madrid,h,i,23,56704.90714,438.8289116,0.857142857,125.1666667,616369.3333,1,0.857142857,554.5490556,15693.73827,616369.3333,554.5490556,15693.73827,13451.77566
5784,madrid,h,p,26,56307.662,32.57,0.8,127,925436.25,18.4,0.8,842.1345407,23832.4075,102569.875,94.05644566,2661.797412,635.5308667
5784,madrid,l,i,29.25,28105.664,718.6077381,0.75,136.6666667,266503.5,1,0.5,240.648179,6810.343466,266503.5,240.648179,6810.343466,3405.171733
